Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,..,..,9843842455.48323,10190529882.4878,12486943505.7381,15936800636.2487,17930239399.8149,20536542736.7297,20046334303.9661,20050189881.6659,19331286549.3323,..
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,2101624962.5,3632043907.78974,10701011896.7708,12881352687.7773,12044212903.8168,11926953258.916,12890867538.5302,12319784787.2987,12781029643.5936,13219857459.1009,11398392444.316,..
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,62045098374.5482,54790060512.8886,134977088396.419,171000692134.748,137211039899.57,161207268840.911,200013050828.17,209047389599.67,209703529364.331,213518488688.12,166838617796.555,..
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Andorra,ADO,1029048481.88051,1401695227.56587,4010990966.32904,4001201113.22689,3650083356.48791,3346516556.29139,3427022518.76564,3146151869.45908,3248924588.42273,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,10033444816.0535,9129634978.33773,60448921272.2326,84178032716.0971,75492384801.3695,82470913120.7314,104115923082.737,115398371427.673,124912063308.202,126776874216.703,102626929544.805,..
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,391570370.37037,783837851.851852,1289254333.33333,1347349851.85185,1206410370.37037,1135539037.03704,1129918370.37037,1204713111.11111,1200587518.51852,1220976000,1259259259.25926,..
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,141352368724.031,284203750000,288833322724.044,363137495039.856,334490355492.26,425916078731.8,533200293249.748,548934618735.756,554155198994.424,529726189460.922,583168571071.407,..
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,2256838858.42714,1911563665.39006,9206301700.39619,11662040713.8753,8647936747.98704,9260284937.79782,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7543,10529182498.3475,..
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,..,1873452513.96648,2623726256.98324,2791960893.85475,2498932960.89385,2467703910.61453,2584463687.15084,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,310954982685.648,414951956289.644,853053309256.497,1054557743957.03,926563834486.821,1142250506474.06,1389919156068.22,1537477830480.51,1563950959269.52,1454675479665.84,1339140527498.13,..
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,166062376739.683,196421706283.398,386458951546.674,427611527757.434,397594276187.83,390235099337.748,429010675562.969,407451583084.239,428248420485.175,438376178526.317,376950249528.668,..
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,8858006035.91566,5272617196.04517,33050343782.7759,48852482960.0779,44291490420.5026,52902703376.1056,65951627200.2026,68730906313.6456,73560484384.9586,75198010965.1919,53047140347.4527,..
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,3166000000,6327552000,8318996000,8246650000,7820420000,7909580000,7889750000,8399031000,8521997500,8617738100,8853519100,..
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,4229787234.04255,9062906914.89362,21730000000,25710877659.5745,22938218085.1064,25713271276.5957,28776595744.6809,30749308510.6383,32539441489.3617,33387712765.9575,31125851063.8298,..
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,31598341233.5793,53369787318.6245,79611888213.148,91631278239.3237,102477791472.39,115279077465.226,128637938711.386,133355749482.478,149990451022.29,172885454931.453,195078665827.565,..
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,2012302519.52124,3121619807.97687,4546115388.40716,4595264666.36232,4601200362.60463,4446829722.72591,4358920097.55454,4332141067.26626,4371196622.64321,4352734313.10536,4385250000,..
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,17369598958.1159,12736856485.1068,45275747860.6442,60752177438.8895,49208656976.039,55220932613.958,59734593904.6402,63615445566.8483,73097619636.8208,76103961203.4406,54608962634.9908,..
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,206430841501.69,237904919845.218,471821105940.323,518625897172.99,484552792442.345,483576821192.053,526975674172.922,497884216568.867,520091780650.207,531761915064.736,455085726960.186,..
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,413050000,832072450,1290573396.53153,1369603993.98571,1338515647.69315,1398362215.83775,1488894464.89739,1573867323.54972,1625828111.72853,1717861729.53812,1752861127.94553,..
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,1959965243.76269,2569186642.86999,5969535131.58016,7132787396.66547,7097198711.61023,6970240895.49888,7814081155.64988,8152554487.31321,9156748441.42175,9707432015.61441,8290986804.45245,..
GDP (current US$),NY.GDP.MKTP.CD,Bermuda,BMU,1592400000,3480219000,5895048000,6109928000,5806378000,5744414000,5550771000,5537537000,5573710000,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Bhutan,BTN,299787275.842376,439158233.199822,1196091805.02316,1258332337.28382,1264758197.96593,1585472534.10547,1820207625.80217,1823692109.61652,1798333725.83954,1958819914.95916,2057947621.19283,..
GDP (current US$),NY.GDP.MKTP.CD,Bolivia,BOL,4867582620.20708,8397912509.09679,13120159975.5451,16674357238.5781,17340028490.0285,19649692875.5683,23963096439.383,27084515195.369,30659334298.1187,32996237337.1925,32997684515.1954,..
GDP (current US$),NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,..,5505984455.95855,15776422673.198,19101454463.7507,17600630726.6141,17163117551.4626,18628022743.4257,17207367625.8048,18154290272.2151,18523988466.7571,16191716214.6829,..
GDP (current US$),NY.GDP.MKTP.CD,Botswana,BWA,3790636664.02546,5788329609.15755,10939053367.1521,10945070447.5102,10267133183.7388,12786654369.6595,15682926890.0326,14686278713.5189,14814761247.9547,15880203580.8046,14389717321.1029,..
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,461951782000,655421153320.579,1397084381901.29,1695824517395.57,1667020106031.81,2208872214643.02,2614573170731.71,2460658440428.04,2465773850934.56,2417046323841.9,1774724818900.48,..
GDP (current US$),NY.GDP.MKTP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Brunei Darussalam,BRN,3520551724.13793,6001153306.2645,12247694247.2298,14393099068.5859,10732366286.2643,13707370737.0737,18525319977.7407,19048495518.5659,18093829923.2737,17123125493.2912,12930394937.8137,..
GDP (current US$),NY.GDP.MKTP.CD,Bulgaria,BGR,20632090909.0909,13148099185.2305,44765733379.986,54666642734.2757,51783454183.5501,50610031135.7791,57418391041.5926,53903028252.2996,55758744571.1183,56732006512.0065,50199117547.0415,..
GDP (current US$),NY.GDP.MKTP.CD,Burkina Faso,BFA,3101301780.95067,2628920056.10098,6762399882.91926,8350808396.60563,8148059793.81443,8988623686.33791,10746062858.3563,11166654260.5289,11930742614.3262,12257141798.2204,10678201939.3595,..
GDP (current US$),NY.GDP.MKTP.CD,Burundi,BDI,1132101252.51817,870486065.883137,1356078278.18821,1611634331.64869,1739781488.7457,2026864469.36388,2355652125.85184,2472384906.99794,2714505634.52629,3093647226.8107,3097324739.82522,..
GDP (current US$),NY.GDP.MKTP.CD,Cabo Verde,CPV,306891107.262039,539227277.626411,1513934037.24782,1789332788.19218,1711816593.14186,1664310632.50555,1864823990.99337,1751887838.54178,1850952140.46767,1881496591.95896,1603239233.28178,..
GDP (current US$),NY.GDP.MKTP.CD,Cambodia,KHM,..,3654031716.26881,8639235842.18075,10351914093.1723,10401851850.6108,11242275198.9783,12829541141.0127,14038383450.186,15449630418.5486,16777820332.7059,18049954289.4229,..
GDP (current US$),NY.GDP.MKTP.CD,Cameroon,CMR,11151578050.7356,9287367235.25769,20431780377.8605,23322254113.5623,23381142146.6485,23622483983.7101,26587311527.5711,26472056037.7696,29567504655.4935,32050817632.9602,28415950981.4447,..
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,593929550908.468,742293448252.643,1464977190205.75,1549131208997.19,1371153004986.44,1613406134731.12,1788703385548.26,1824288757447.57,1837443486716.34,1783775590895.93,1550536520141.93,..
GDP (current US$),NY.GDP.MKTP.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Central African Republic,CAF,1440711395.67069,914500299.097034,1698125617.92304,1985370057.92473,1981728140.77833,1986014845.63184,2212699746.81377,2184183758.31567,1518565219.01061,1702898939.55483,1583776759.97697,..
GDP (current US$),NY.GDP.MKTP.CD,Chad,TCD,1738605558.05436,1385058161.76746,8638711442.7705,10351932604.4154,9253484108.49701,10657705536.4978,12156380425.0825,12368071038.7362,12949854262.8127,13922223233.5184,10888798113.7866,..
GDP (current US$),NY.GDP.MKTP.CD,Channel Islands,CHI,..,6439703434.71024,11514605842.3369,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Chile,CHL,31558927517.2188,79328640263.7676,173081277147.793,179626674542.406,171956955710.33,217538271334.673,250832362674.151,265231582123.55,277078709134.903,258733363811.966,240796388428.74,..
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,360858508604.206,1211346395438.73,3552182714426.55,4598205419718.8,5109954035775.98,6100620356557.32,7572554360442.62,8560546868811.69,9607224248684.59,10482371325324.7,11007720594138.9,..
GDP (current US$),NY.GDP.MKTP.CD,Colombia,COL,40274204595.2296,99886577330.7271,207416494642.379,243982437870.84,233821670544.258,287018184637.529,335415156702.186,369659700375.52,380191881860.372,378416020533.715,292080155633.31,..
GDP (current US$),NY.GDP.MKTP.CD,Comoros,COM,250030760.754786,203846427.738737,462453582.873627,523134896.968654,524157261.014644,530493353.218937,586281766.75997,570865941.229393,618663921.771194,647720707.13635,565689764.52408,..
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Dem. Rep.",ZAR,..,19088046305.7971,16364029327.3456,19206060270.2521,18262773820.8055,20523285374.187,23849009737.6669,27463220380.0054,30014813755.772,32782281736.251,35237742278.1147,..
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Rep.",COG,2798746050.58236,3219910666.03357,8394688284.06224,11859014004.0772,9593536531.23778,12007880590.4575,14425607224.168,13677930123.5919,14085852120.4761,14177437627.2969,8553154505.83585,..
GDP (current US$),NY.GDP.MKTP.CD,Costa Rica,CRI,7403457319.20472,14949514585.1585,26743874286.8514,30612932802.8991,30562361151.812,37268635328.7341,42262697853.6349,46473128236.8416,49639737973.791,50167623289.763,54136834090.867,..
GDP (current US$),NY.GDP.MKTP.CD,Cote d'Ivoire,CIV,10795850106.9547,10717022462.6859,20343635319.6174,24224903099.6283,24277493862.0625,24884505034.5564,25381616734.0693,27040562587.1771,31264187110.3554,34217693110.4569,31759248867.8039,..
GDP (current US$),NY.GDP.MKTP.CD,Croatia,HRV,..,21774273832.1031,60093155532.7678,70481451814.3118,62703095750.5257,59680624422.3702,62249565358.9878,56485301967.4205,57770884728.6496,57136241867.0192,48732003674.38,..
GDP (current US$),NY.GDP.MKTP.CD,Cuba,CUB,28645436550.5319,30565200000,58603500000,60806300000,62078600000,64328200000,68990140000,73139050000,77149700000,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Cyprus,CYP,5591130217.66965,10183317624.8822,24077470572.1325,27839460963.8201,25942622950.8197,25562251655.6291,27427161523.4918,25012206090.1966,24054965480.616,23308212816.7706,19559942331.1523,..
